"Agency Name","Peoplesoft ID","External ID","Name","Client Contract ID","Project Status","Project Phase","Facility Type","Start Date","End Date","Project Manager Name","Project Manager Email","PIO Name","PIO Email","Description","CNN","On Street","From Street","To Street","Owner Name","Owner Email","CoOrdinate Point","CoOrdinate LineString","dotMapsID","shapeType","co_ordinatePolygon"
"SF DPW IDC - Hydraulic","10034718-6","ADA11AC5-B25C-47E2-BE75-B1C84E80E27A","Mission, 8th, 9th, Howard and Natoma Brick Sewer Rehabilitation","NONE","Active","Design","Sanitary Sewer","2025 Aug 04 12:00:00 AM","2026 Nov 06 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","1223i","26050000","Divisadero St","Fell St","","Saied Khan","saied.khan@sfdpw.org","POINT (-122.43761062402791 37.77406164626104)","","7976","Point",""
"SF DPW IDC - Hydraulic","2971J","DCCC887B-BDA9-436C-AC32-2FF4E4DE3EE8","PW Brannan Street Outfall Improvements","NONE","Active","Construction","Sanitary Sewer","2026 Feb 13 12:00:00 AM","2026 Nov 10 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","NONE","34013000","Chestnut St","Sansome St \ The Embarcadero","","Chung Linh","chung.linh@sfdpw.org","POINT (-122.40343572494955 37.80518490138764)","","11711","Point",""
"SF DPW IDC - Hydraulic","10035857-1","C218C4B6-202D-EC11-A87E-005056A8369E","PW Minna Natoma Streetscape Sewer Replacement","_NA","Active","Construction","Sanitary Sewer","2025 May 01 12:00:00 AM","2026 Oct 22 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2234i
sewer work funded by PUC to be incorporated into the Minna/Natoma Streetscape project.","24543000","02nd St","Natoma St","","Mark Williams","markus.j.williams@sfdpw.org","POINT (-122.39878960036116 37.78720346320856)","","53916","Point",""
"SF DPW IDC - Hydraulic","10037804-1","E99CF51B-AF03-ED11-A886-005056A8369E","PW Various Locations Sewer Replacement (JV VL PR No 67B)","_NA","Active","Construction","Sanitary Sewer","2024 May 13 12:00:00 AM","2026 May 30 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2303i","27599000","08th Ave","California St","","Elia Haddad","Elia.Haddad@sfdpw.org","POINT (-122.4666944430419 37.78471552277665)","","11712","Point",""
"SF DPW IDC - Hydraulic","10040070-1","5A383C2B-2FED-EE11-A8A5-005056A8369E","PW Various Locations Sewer Replacement (JV VL PR No 85)","_NA","Active","Construction","Sanitary Sewer","2026 Apr 13 12:00:00 AM","2027 Feb 06 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2443i","26431000","Frederick St","Willard St","","Au Bui","au.bui@sfdpw.org","POINT (-122.45459292302937 37.76616547000295)","","31138","Point",""
"SF DPW IDC - Hydraulic","10041045","4E89194C-80C0-EE11-A8A3-005056A8369E","PW Various Locations Sewer Replacement No 19","WW-761","Active","Design","Sanitary Sewer, Roadway","2026 Nov 01 12:00:00 AM","2027 Dec 31 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2467i","27219000","Anza St","Loraine Ct","","Bradley Howard","bradley.howard@sfdpw.org","POINT (-122.45687158736872 37.77959131351853)","","31563","Point",""
"SF DPW IDC - Hydraulic","10041516","5D5703D3-A1F0-EF11-A8B3-005056A8369E","PW Various Locations Sewer Replacement No 31","_NA","Active","Design","Sanitary Sewer","2027 Jun 07 12:00:00 AM","2028 Jun 09 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2596i, WW-778","26474000","Golden Gate Ave","Temescal Ter","","Jonelle Gausman","jonelle.gausman@sfdpw.org","POINT (-122.45223376532448 37.77697622333016)","","38070","Point",""
"SF DPW IDC - Hydraulic","10037246-1","F55C05EE-72EA-EB11-A877-005056A8369E","Seacliff No 2 Pump Station Refurb","_NA","Active","Planning","Sanitary Sewer","2024 Nov 14 12:00:00 AM","2027 Jan 20 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","1298i","51395000","25th Ave","End","","Richard Graham","richard.graham@sfdpw.org","POINT (-122.48453354065025 37.78922340066834)","","8134","Point",""
"SF DPW IDC - Hydraulic","10041275-1","FEC6951F-1419-EF11-A8A6-005056A8369E","Union St Sewer Replacement","_NA","Active","Design","Sanitary Sewer","2027 Jan 14 12:00:00 AM","2028 Mar 28 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2511i","26890000","Baker St","Union St","","Jose Silva Hernandez","jose.silvahernandez@sfdpw.org","POINT (-122.44541045574589 37.795826595691125)","","31536","Point",""
"SF DPW IDC - Hydraulic","10041287","76C26633-4DEC-EE11-A8A5-005056A8369E","Various Location Sewer Replacement No 22","_NA","Active","Design","Sanitary Sewer, Roadway","2026 Aug 24 12:00:00 AM","2027 Aug 24 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2490i, WW-764","32940000","Copper Aly","Market St","","Katarina Ng","katarina.ng@sfdpw.org","POINT (-122.44291485555877 37.75736046033507)","","27420","Point",""
"SF DPW IDC - Hydraulic","10041501","498035EA-9614-EF11-A8A6-005056A8369E","Various Locations Sewer Replacement No 24","_NA","Active","Design","Sanitary Sewer","2027 Jan 23 12:00:00 AM","2028 Jan 25 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2504i, WW-771","20220000","Galvez Ave","Mendell St","","Thomas Won","Thomas.Won@sfdpw.org","POINT (-122.38583453906965 37.73960901710574)","","34292","Point",""
"SF DPW IDC - Hydraulic","10041980","39A12171-20EB-EF11-A8B3-005056A8369E","Various Locations Spot Main Sewer Replacement No 2","_NA","Active","Design","Sanitary Sewer","2027 Jan 04 12:00:00 AM","2028 Jan 03 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2560i, WW-792","27844000","31st Ave","Geary Blvd","","Terence Huey","terence.huey@sfdpw.org","POINT (-122.49116704511421 37.77979538160838)","","42062","Point",""
"SF DPW IDC - Hydraulic","10026818-4","710A524B-FCE7-EF11-A8B3-005056A8369E","Western SOMA and Northern Mission Districts Sewer Replacement WW-719D","_NA","Active","Design","Sanitary Sewer","2027 May 30 12:00:00 AM","2029 Mar 02 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","WW-719D, 2817-D","24343000","Erie St","Folsom St","","Jose Flores","Jose.Flores@sfdpw.org","POINT (-122.41561150915427 37.769362018348744)","","37159","Point",""
"SF DPW IDC - Mechanical","10036324","F53681E6-FA89-4637-B1F3-246158BBCCAB","EFWS Fort Mason Manifold Relocation","NONE","Active","Planning","Water","2028 Sep 15 12:00:00 AM","2030 Sep 16 12:00:00 AM","Richard Graham","Richard.Graham@sfdpw.org","","","Replace and relocate Fort Mason Fireboat manifold","26725000","Bay St","Gough St","","Richard Graham","richard.graham@sfdpw.org","POINT (-122.42840027459563 37.80372712974571)","","8021","Point",""
"SF DPW IDC - Streets & Highways","10039453","2D619525-4168-EC11-A880-005056A8369E","13th St Safety Improvement Project","_NA","Active","Construction","Land, Roadway","2025 Feb 03 12:00:00 AM","2026 Nov 14 12:00:00 AM","Lorina Louie","Lorina.Louie@sfdpw.org","Alex M Murillo","Alex.M.Murillo@sfdpw.org","Installation of new bulbouts, sidewalk, traffic signals and bike lanes","24241000","13th St","South Van Ness Ave","","Deanna Calleros","Deanna.Calleros@sfdpw.org","POINT (-122.41775319323504 37.76981507917589)","","13175","Point",""
"SF DPW IDC - Streets & Highways","10039831","34203C78-789E-ED11-A890-005056A8369E","As Needed City-wide Pavement Preservation 6 (General As-Needed Contract G29)","_NA","Active","Design","Roadway","2025 May 04 12:00:00 AM","2028 Jan 28 12:00:00 AM","Therese Topacio","Therese.Topacio@sfdpw.org","","","NONE","50949000","Yale St","End","","Mark Williams","markus.j.williams@sfdpw.org","POINT (-122.41621401792908 37.72383741551097)","","45457","Point",""
"SF DPW IDC - Streets & Highways","10041355","D2057FFC-1056-ED11-A88C-005056A8369E","Monterey Blvd Pavement Renovation","_NA","Active","Design","Roadway","2028 Apr 29 12:00:00 AM","2029 Jul 13 12:00:00 AM","Edmund Lee","Edmund.Lee@sfdpw.org","","","NONE","22653000","Monterey Blvd","Yerba Buena Ave","","Olivia Barradas","olivia.barradas@sfdpw.org","POINT (-122.45869630149816 37.730838175606785)","","31509","Point",""
"SF DPW IDC - Streets & Highways","10043215","","Outer Mission Green Nodes","_NA","Active","Planning","Roadway","2028 Mar 01 12:00:00 AM","2029 Sep 01 12:00:00 AM","Mary Tienken","MTienken@sfwater.org","","","Construction of green infrastructure, safety
improvements, and curb ramps improvements.","['22074000']","ONEIDA AVE","DELANO AVE","","Jose Silva Hernandez","jose.silvahernandez@sfdpw.org","POINT (-122.44381798276417 37.722249909735766)","","56976","Point",""
"SF DPW IDC - Streets & Highways","10040527","71C5CE91-2C57-EE11-A89B-005056A8369E","PW 29 Sunset Improvement Project Phase 1","_NA","Active","Design","Roadway","2027 Mar 27 12:00:00 AM","2028 Dec 29 12:00:00 AM","Ellen Wong","Ellen.Wong@sfdpw.org","","","This is an MTA Project: 2 transit bulb outs, median reconstruction, sidewalk paving, retaining walls on Lincoln from 34th Ave to 21st Ave, Cross Over Drive and Fulton St intersection, Winston Dr, and Holloway Ave and Beverly St intersection.","23022000","Holloway Ave","Lunado Way","","Samuel Dosick","sam.dosick@sfdpw.org","POINT (-122.47176027185893 37.72167120366822)","","31731","Point",""
"SF DPW IDC - Streets & Highways","2955J","539D0BF7-7D04-4C44-B1FC-EF8C02DBAFF1","PW Folsom Streetscape Project","NONE","Active","Construction","Land, Roadway","2024 Mar 11 12:00:00 AM","2026 Oct 16 12:00:00 AM","Carol Huang","Carol.Huang@sfdpw.org","","","NONE","24234000","Dore St","Folsom St","","Miguel Hernandez","Miguel.Hernandez@sfdpw.org","POINT (-122.41222500576501 37.7732847805481)","","7991","Point",""
"SF DPW IDC - Streets & Highways","10040893","7625525A-1B14-ED11-A887-005056A8369E","PW Geary BRT Phase 2","_NA","Active","Design","Roadway","2026 Jun 03 12:00:00 AM","2028 Jun 30 12:00:00 AM","Ellen Wong","Ellen.Wong@sfdpw.org","","","Transit improvement, Roadway, Drainage, Traffic Signal, Landscaping and related work at Geary (Stanyan Street and 34th Ave).","27501000","18th Ave","Geary Blvd","","Stephanie Yuan","stephanie.yuan@sfdpw.org","POINT (-122.47723988823083 37.78043963685481)","","31443","Point",""
"SF DPW IDC - Streets & Highways","10040022","B9A9178C-55B9-ED11-A891-005056A8369E","PW VL Cr and Sub-Sdwlk Bsmnt No 3","_NA","Active","Design","Roadway","2026 Nov 17 12:00:00 AM","2027 Nov 11 12:00:00 AM","Anastastia Haddad","Anastastia.Haddad@sfdpw.org","Alex M Murillo","Alex.M.Murillo@sfdpw.org","Annual program to plan, design, and construct curb ramps at various locations throughout the city as well as at locations with sub-sidewalk base.","25154000","Geary St","Leavenworth St","","Christine Hunt","christine.hunt@sfdpw.org","POINT (-122.41480664829902 37.78651981959045)","","23514","Point",""
"SF DPW IDC - Streets & Highways","10040312","6DA35B47-81D5-ED11-A892-005056A8369E","PW VL Cr and Sub-Sdwlk Bsmnt No 4","_NA","Active","Planning","Roadway","2028 Feb 11 12:00:00 AM","2028 Sep 12 12:00:00 AM","Anastastia Haddad","Anastastia.Haddad@sfdpw.org","Alex M Murillo","Alex.M.Murillo@sfdpw.org","Annual program to plan, design and construct curb ramps at various locations throughout the City that includes non sub-sidewalk basements and sub-sidewalk basements.","24918000","Post St","Powell St","","Etsubdink Tadesse","etsubdink.tadesse@sfdpw.org","POINT (-122.40840155024655 37.78829319380339)","","52908","Point",""
"SF DPW IDC - Streets & Highways","10041179","2A41332C-4B94-EE11-A89F-005056A8369E","San Bruno Ave Pavement Renovation","_NA","Active","Design","Roadway","2028 Feb 28 12:00:00 AM","2029 May 13 12:00:00 AM","Paul Barradas","Paul.Barradas@sfdpw.org","","","NONE","20546000","03rd St","Girard St \ San Bruno Ave","","Cecilia Barrientos Torres","cecilia.barrientos-torres@sfdpw.org","POINT (-122.39973950746409 37.71618273756823)","","25196","Point",""
"SF DPW IDC - Streets & Highways","10037895","FF8FC0D8-1E46-EB11-A85E-005056A8369E","Various Locations Pavement Renovation No 82","_NA","Active","Design","Roadway","2026 Jul 02 12:00:00 AM","2027 Sep 14 12:00:00 AM","Paul Barradas","Paul.Barradas@sfdpw.org","","","NONE","20450000","Carroll Ave","Ingalls St","","Cayla Andrews","cayla.andrews@sfdpw.org","POINT (-122.38961954125327 37.722851441628684)","","8153","Point",""
"SF DPW IDC - Streets & Highways","10040535","A7524B5B-3FD5-EC11-A884-005056A8369E","Various Locations Pavement Renovation No 86A","_NA","Active","Design","Roadway","2027 Sep 04 12:00:00 AM","2028 Nov 16 12:00:00 AM","Edmund Lee","Edmund.Lee@sfdpw.org","","","NONE","25037000","Pacific Ave","Pelton Pl","","Angel Camacho Lopez","damian.lopez@sfdpw.org","POINT (-122.40761980950714 37.79680407715672)","","31478","Point",""
"SF MTA SS - Transportation Engineering (Capital)","SG064","","Great Highway Traffic Signal Upgrade","2270I","Active","Design","Traffic Signals","2025 Jul 01 12:00:00 AM","2026 Jun 30 12:00:00 AM","","","","","Replace eight existing traffic signals along the upper Great Highway between Lincoln Way and Vicente Street including poles, signals, street lighting, pedestrian countdown signals (PCS), and accessible pedestrian signals (APS).","[]","GREAT HWY","RIVERA ST","","Jarrett Hornbostel","jarrett.hornbostel@sfmta.com","POINT (-122.5074427556572 37.7453923918898)","","9109","Point",""
"SF MTA SS - Transportation Engineering (Capital)","SG148","","Lincoln Way New Traffic Signals","2598I","Active","Design","Traffic Signals","2028 Apr 01 12:00:00 AM","2029 Mar 31 12:00:00 AM","Jarrett Hornbostel","jarrett.hornbostel@sfmta.com","","","Construct new traffic signals including poles, signals, street lighting, pedestrian countdown signals (PCS), and accessible pedestrian signals (APS) in addition to new ADA compliant curb ramps where they do not already exist.","['27954000']","LINCOLN WAY","45TH AVE","","Jarrett Hornbostel","jarrett.hornbostel@sfmta.com","POINT (-122.50515048599364 37.76422470628456)","","51215","Point",""
"SF MTA SS - Transportation Engineering (Capital)","SG115","","Western Addition Area Traffic Signal Upgrades Phase 2","None","Active","Design","Roadway","2025 Jun 01 12:00:00 AM","2028 Dec 31 12:00:00 AM","Geraldine de Leon","geraldine.deleon@sfmta.com","","","Upgrade traffic signals at 16 locations in the Western Addition neighborhood: traffic signals (mast arms, signal heads, controllers, conduit, wiring, and poles), pedestrian countdown signals, accessible (audible) pedestrian signals, rectangular flashing beacons, radar speed signs, streetlighting, and curb ramps.","['8897000']","MCALLISTER ST","","","Corbin Skerrit","corbin.skerrit@sfmta.com","POINT (-122.42519971117846 37.77947052510989)","","31773","Point",""
"SF PUC Water","WD-2889","","WD-2889 As-Needed Water Service Line Replacement","WD-2889","Active","Construction","Water","2023 Jun 23 12:00:00 AM","2026 Jul 01 12:00:00 AM","","","","","Water service line replacement at 230 Post St","['10627000']","POST ST","","","Rahul Shah","rshah@sfwater.org","POINT (-122.40573107286085 37.78863660735207)","","27815","Point",""
